# Cluster, ID, RA, Dec, z
# No spaces allowed
# For input into GLASS magnification tool:
# http://glass.astro.ucla.edu/magnification_webtool
#
MACS0744,1203,116.1976,39.4567,1.651
MACS1423,248,215.9588,24.0923,1.410
MACS2129,478,322.3521,-7.6819,1.665
MACS2129,1408,322.3690,-7.7005,1.481
MACS2129,1833,322.3627,-7.7099,2.302
MACS0744,920,116.2124,39.4603,1.280
A370,2056,39.9594,-1.5734,1.273
A370,3097,39.9595,-1.5841,1.555
MACS0717,2064,109.4130,37.7385,2.0785
MACS0744,1370,116.2370,39.4541,1.37
MACS0744,1734,116.2191,39.4492,1.4925
A370,1783,39.9781,-1.5692,1.265

#
# Cluster,ID,RA,DEC,z,mu (best/med [lower68%,upper68%])
#MACS0744,1203,116.197600,39.456700,1.651000,-99
#MACS1423,248,215.958800,24.092300,1.410000,2.17/2.02 [1.95-2.09]
#MACS2129,478,322.352100,-7.681900,1.665000,1.80/1.79 [1.76-1.83]
#MACS2129,1408,322.369000,-7.700500,1.481000,1.94/1.86 [1.73-2.03]
#MACS2129,1833,322.362700,-7.709900,2.302000,1.68/1.56 [1.51-1.64]
#MACS0744,920,116.212400,39.460300,1.280000,-99
#A370,2056,39.959400,-1.573400,1.273000,1.93/1.90 [1.88-1.94]
#A370,3097,39.959500,-1.584100,1.555000,2.33/2.30 [2.20-2.41]
#MACS0717,2064,109.413000,37.738500,2.078500,7.61/6.48 [5.69-7.45]
