#cluster,ID (ERS),RA,DEC,z_best
A2744,16278.0,3.5838063,-30.3432955,3.623
A2744,16279.0,3.5834922,-30.3433819,4.237
A2744,16280.0,3.5854884,-30.3435738,3.109
A2744,16281.0,3.5873626,-30.3449637,4.878
A2744,16282.0,3.5828582,-30.3474644,3.105
A2744,16283.0,3.5822387,-30.3441296,4.908
A2744,16284.0,3.5909939,-30.3466596,4.821
A2744,16285.0,3.5825189,-30.3480079,4.143
A2744,16286.0,3.5894334,-30.3454746,4.245
A2744,16287.0,3.586242,-30.3432873,3.372
A2744,16288.0,3.5806167,-30.3412658,4.49
A2744,16289.0,3.5843494,-30.3431333,4.955
A2744,16290.0,3.5795164,-30.3439747,4.925
