#cluster,ID (ERS),RA,DEC,z_best
A2744,8248.0,3.600079,-30.4029211,3.0537
A2744,9257.0,3.6071244,-30.3956389,2.9955
A2744,9259.0,3.5951353,-30.4044777,2.951
A2744,9262.0,3.5727654,-30.3946121,2.9315
A2744,9264.0,3.58738,-30.4064809,2.6565
A2744,9265.0,3.5883984,-30.4058769,2.6565
A2744,9268.0,3.6022826,-30.3893167,2.4754
A2744,9269.0,3.5800565,-30.3878239,2.3266
A2744,9270.0,3.579076,-30.3859629,2.1895
A2744,9271.0,3.6041927,-30.39719,2.07
A2744,9276.0,3.5832817,-30.4033531,1.8876
A2744,9280.0,3.5765755,-30.3990587,1.8606
A2744,9282.0,3.6002062,-30.41376,1.7663
A2744,9285.0,3.5975483,-30.403943,1.688
A2744,9286.0,3.5862282,-30.410005,1.688
A2744,9287.0,3.5959411,-30.406856,1.688
A2744,9290.0,3.5877034,-30.3836485,1.5018
A2744,9291.0,3.5690438,-30.4069517,1.4591
A2744,9292.0,3.5883677,-30.386329,1.3897
A2744,9293.0,3.5753203,-30.4127727,1.3681
A2744,9294.0,3.574349,-30.4113683,1.3677
A2744,9299.0,3.5913226,-30.3870203,1.3661
A2744,9300.0,3.5769557,-30.4134391,1.366
A2744,9301.0,3.5758266,-30.4123575,1.3649
A2744,9302.0,3.5981084,-30.3915386,1.3607
A2744,9303.0,3.573543,-30.3925746,1.3584
A2744,9305.0,3.5771338,-30.3880664,1.358
A2744,9306.0,3.5764315,-30.3877965,1.3576
A2744,9308.0,3.5745406,-30.4001182,1.3465
A2744,9312.0,3.5767237,-30.4029612,1.3437
A2744,9313.0,3.5779255,-30.4010036,1.3433
A2744,9315.0,3.5913418,-30.3854125,1.3401
A2744,9316.0,3.6061476,-30.3919741,1.3397
A2744,9317.0,3.5910952,-30.3855761,1.3397
A2744,9318.0,3.5813561,-30.4110689,1.3359
A2744,9319.0,3.5705894,-30.3931405,1.3246
A2744,9320.0,3.575519,-30.4131993,1.3233
A2744,9322.0,3.5870601,-30.4112575,1.2843
A2744,9324.0,3.587528,-30.41274,1.2684
A2744,9325.0,3.5816558,-30.3850526,1.1815
A2744,9326.0,3.600164,-30.4136052,1.1742
A2744,9327.0,3.5752797,-30.3925319,1.1632
A2744,9328.0,3.5906299,-30.3898788,1.1618
A2744,9329.0,3.5784191,-30.3888417,1.1616
A2744,9330.0,3.5778301,-30.3938981,1.1613
A2744,9331.0,3.5758367,-30.3901562,1.1612
A2744,9332.0,3.598586,-30.3828648,1.1425
A2744,9333.0,3.5680426,-30.4063281,1.1139
A2744,9334.0,3.5710134,-30.399845,1.1058
A2744,9335.0,3.602892,-30.406846,1.1053
A2744,9336.0,3.6026575,-30.4098944,1.1043
A2744,9338.0,3.6016934,-30.3928844,1.104
A2744,9339.0,3.6020079,-30.3931773,1.1034
A2744,9340.0,3.5812273,-30.41158,1.0972
A2744,9341.0,3.6017618,-30.4078622,1.097
A2744,9342.0,3.599705,-30.4065762,1.0961
A2744,9343.0,3.5908849,-30.4118732,1.0912
A2744,9344.0,3.5800767,-30.3870568,1.0472
A2744,9345.0,3.6083413,-30.3867285,1.0464
A2744,9346.0,3.6078501,-30.3884653,1.0452
A2744,9347.0,3.5873334,-30.4090935,1.043
A2744,9348.0,3.5951253,-30.4058974,1.043
A2744,9349.0,3.5959003,-30.4044801,1.043
A2744,9350.0,3.5819274,-30.4017018,1.0252
A2744,9351.0,3.5866843,-30.3981785,1.0252
A2744,9352.0,3.5910163,-30.397439,1.0252
A2744,10359.0,3.605062501,-30.38147278,8.0
A2744,11360.0,3.603866,-30.382263,8.1902
A2744,11361.0,3.590688,-30.395569,5.3676
A2744,11362.0,3.576128,-30.40449,5.1849
A2744,11363.0,3.570654,-30.41466,6.0285
A2744,11364.0,3.608007,-30.394819,5.68
A2744,12365.0,3.580095,-30.415371,7.4801
A2744,12366.0,3.566411,-30.414623,10.0001
A2744,12367.0,3.59238,-30.409891,7.5001
A2744,12368.0,3.565658,-30.408735,7.8101
A2744,12369.0,3.582691,-30.400574,7.95
A2744,12370.0,3.567644,-30.397266,7.7701
A2744,12371.0,3.597838,-30.39596,7.1101
A2744,12380.0,3.579946,-30.378376,7.1901
A2744,13381.0,3.579652759,-30.37840181,2.26
A2744,13382.0,3.5769487,-30.37854577,0.3
A2744,13383.0,3.576514703,-30.37874736,2.32
A2744,13384.0,3.576080697,-30.37903535,0.32
A2744,13385.0,3.571974065,-30.38298074,1.59
A2744,13386.0,3.58251834,-30.38542475,3.31
A2744,13387.0,3.600931428,-30.38418396,2.69
A2744,13388.0,3.601599108,-30.3914989,2.42
A2744,13389.0,3.579543324,-30.38845538,0.06
A2744,13390.0,3.577256936,-30.40165204,0.36
A2744,13391.0,3.572233145,-30.40682494,2.9
A2744,13392.0,3.585311322,-30.41532622,2.57
A2744,13393.0,3.589297405,-30.41594187,3.22
A2744,13394.0,3.607570827,-30.39190569,2.68
A2744,13395.0,3.607616995,-30.39108568,3.29
A2744,13396.0,3.606254502,-30.39802265,2.58
A2744,18445.0,3.5683476181,-30.399530996,2.683
A2744,18447.0,3.5689394149,-30.402831962,2.574
A2744,18449.0,3.5702882587,-30.380765209,4.499
A2744,18452.0,3.5850023411,-30.381837654,2.713
A2744,18455.0,3.6078357066,-30.395170633,3.924
A2744,18456.0,3.605222434,-30.395395191,2.915
A2744,14397.0,3.58620492,-30.40045844,0.308
A2744,14398.0,3.586204926,-30.40084144,0.308
A2744,14399.0,3.586204932,-30.40122445,0.308
A2744,14400.0,3.586204939,-30.40160746,0.308
A2744,14401.0,3.586204945,-30.40199046,0.308
A2744,14402.0,3.586204952,-30.40237347,0.308
A2744,14403.0,3.586204958,-30.40275648,0.308
A2744,14404.0,3.586204965,-30.40313948,0.308
A2744,14405.0,3.586204971,-30.40352249,0.308
A2744,14406.0,3.586204977,-30.4039055,0.308
A2744,14407.0,3.586204984,-30.40428851,0.308
A2744,14408.0,3.58620499,-30.40467151,0.308
A2744,14410.0,3.586204922,-30.40058611,0.308
A2744,14411.0,3.586204924,-30.40071377,0.308
A2744,14413.0,3.586204928,-30.40096911,0.308
A2744,14414.0,3.58620493,-30.40109678,0.308
